text1,text2,label
"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,1
A man in a white shirt peers out a brown train.,A man on a train.,1
Two men working on there apple laptops.,Two woman are eating apples,0
A man is reading a newspaper on a subway.,A man is reading a newspaper on a bus.,0
2 men in army fatigues playing baseball in the middle of a dirt field in the middle of the day.,Two men are playing football in the rain.,0
"A young Asian woman wearing tan boots, a floral skirt and a black jacket is walking down the street holding a camera, a brown purse, a gray bag and pink scarf.",a woman wears boots,1
a woman is crouched using her laptop on a busy sidewalk,The woman is crunched down on a busy sidewalk using a laptop.,1
A woman in shorts and sandals is being pulled by a small child as a subway train goes by.,People in coats get on a ski lift.,0
A group of people ride a sailboat on a river.,People are sailing.,1
This dark-skinned man checks his phone while riding in what looks like a bus.,A guy with dark skin checks his phone on a bus,1
A black dog walks through some water.,A dog in shallow water.,1
Two young girls standing on an overlook in the mountains.,Two guys on a beach,0
"An elder man, wearing celebratory attire, plays a percussion instrument and is singing outdoors.",An edler man plays guitar,0
Little boy sleeping in the car.,A boy is running.,0
"A man and a woman are at a beach with other people nearby, and the woman is touching the man's face.",The man and woman are outside.,1
Older lady feeding and nurturing her cats in the summer time.,A woman feeds her cat.,1
A man in a plaid shirt is hiding his face as his arms are being held behind him by a man in a black shirt.,A main is hiding his face.,1
African man holding son in a sling.,The African man is accompanied by his son.,1
A man in a black cape faces off against a young boy in a tracksuit.,A young boy is running away screaming.,0
"A baseball player wearing red, white and blue gets ready to bat as his teammates stand behind him and watch.",A baseball player plays baseball.,1
A woman is looking out into the horizon while standing near the water shore.,A woman is near water.,1
One lady looking into space.,Five ladies looking into space.,0
Kid in a striped shirt holding a guitar.,Adult playing the clarinet.,0
A barefoot little boy sweeping a brick floor.,The boy is cleaning up.,1
A man holding the leash of a pug bends down to look in a bin at an outdoor rummage sale.,A man with a fox on a leash attracts attention.,0
A man in protective gear welds a piece of metal on a machine.,A man is  eating in Restaurant.,0
"Two men, dressed in African clothing, are looking at a large pile of fish that have been unloaded from a pickup truck.",The women are shopping for tampons.,0
A man is standing on artificial turf while a little girl in a pink jacket stands next to him.,A man and little girl stand next to each other.,1
A man wearing a white hat is shoveling dirt.,A man never leaves his house.,0
She is hitting the tennis ball over the line.,She is hitting a ball.,1
A man is holding a bride's dress up to prevent it from getting dirty on a rain soaked boardwalk.,The man is holding a dress.,1
A crowd watches a race on a rainy day.,The temperature is 20 below zero.,0
"Little boy sits in car's driver's seat, grabbing the steering wheel.",The boy is grabbing at the steering wheel.,1
Bald woman wearing glasses reads to four men and one woman.,A woman reads to five other people.,1
The children are eating food and drinking juice boxes.,The kids are playing at the park.,0
"Man in blue shirt, white hat and blue jeans, with a brown bag across his back, riding a bicycle on a sidewalk, riding past a traffic stoplight.",A man is riding a bike and there is a stoplight and he's on the sidewalk.,1
One firefighter is smiling at another firefighter.,There are two firefighters.,1
An Asian boy stepping on a stone next to a brick building.,The girl skips down the sidewalk.,0
A man dives into a clear blue lake.,A man dives into a lake.,1
"two children, a girl and a boy are practicing their writing.",Two boys are throwing pens at each other.,0
There are two dogs in the snow and one has something in his mouth.,Dogs are playing in the snow.,0
People in Asian garb are walking in a parade.,People in regular clothes walk in the parade,0
A brown dog running across a flat rock.,A dog is sleeping.,0
A man fixing equipment in an empty warehouse.,The man is trying to fix something.,1
"A woman in a navy blue shirt and jeans stands in front of a metal building, her hand resting on a fence, with her black and white dog lying in front of her.",a dog and cat sit near a fence,0
A little girl with a purple shirt looks over the rail.,A young girl stares over the rail.,1
A man in black shirt singing into microphone.,A man is singing into a mic.,1
A group of people holding music instruments.,A young boy is practicing on the piano.,0
"An older man stands in a white tank top and blue jeans, holding something to smooth down concrete.",An older construction worker is paving a road.,0
A man with a black shirt and black pants doing a trick on a skateboard.,A man riding a skateboard.,1
A person rides a bike down a rocky hill.,The person riding the bike is outdoors.,1
a girl in blue clothes in sitting on a rock next to a small waterfall.,The girl's clothes are red,0
A woman looks at a sheet while she waits for transportation.,A woman is looking at a sheet waiting for the bus.,1
two guys play soccer and look exhausted,A girl and a guy play tennis.,0
The band is setting up for their performance.,People getting ready.,1
most of the people are riding there motorcycle,Most of the people on the road are driving trucks.,0
Baby in a swing on a sunny day with her sip cup.,There is a baby in a swing.,1
The young lady appears to be a mime among her peers.,A young woman is mimicing something.,1
"A large, black dog is running in the sand on the beach.",There is an animal on a beach.,1
A man is loading his dishwasher.,A man loads a dishwasher.,1
Woman standing barefoot near a small hut and filling a jug with liquid.,A woman inside on the couch.,0
"Young female, dressed as Hip Hop artist singing to a young male breakdancer, balancing himself upside down on one arm.",The breakdancer has been injured.,0
at a theme park or basketball court.,People are at the store.,0
A small dogs ears stick up as it runs in the grass.,A dog is sitting on the floor waiting for a treat from his owner.,0
A woman is carrying flowers.,There is a woman.,1
Opening presents around a Christmas tree.,They are indoors.,1
A young man in a trucker cap and hoodie is mixing music with two Game Boys.,A man is mixing music using Game Boys.,1
A white person wearing shorts and a purple t-shirt shovels snow.,A man is playing in the sand.,0
A man in a blue and yellow jacket holding a religious sign stands in a street with people behind him on the sidewalk.,A group of people are standing in the street with a man holding a sign.,1
Two football teams compete.,Two teams playing soccer.,0
"In the desert on a cloudy day, a long camel caravan makes several curves away from the camera, the last camel passing a sign along side the trail.",Animals near a caravan.,1
The man caught a huge sword fish.,A man is steering a boat.,0
The two soccer teams watch as the ball flies towards the referee.,Two soccer teams are playing a game,1
A boy is pushing a sledge through the snow at night.,the kid pushes a sledge through the snow,1
I see two guys playing basket one with a white tee and the other with a black.,The two men duel to determine the next President of the United States.,0
A woman wearing orange is standing in front of a river with a tree covered mountainside in the background.,A man wearing orange is standing in front of a river with a tree covered mountainside in the background.,0
A man loads trees onto a cart on the side of a road.,The man is outdoors.,1
People dressed in blue marching in a parade on a public street.,People are at a banquet.,0
A man and a woman in a furniture store stop to talk to a woman in a white shirt that has a small bird on her left shoulder.,There are people inside a building.,1
The lady in blue sweater with her breast showing walking in a busy street fanning.,this woman is fully clothed,0
A man is crouched down next to a building sipping a drink.,A man and woman is sitting on the couch eating chips.,0
Someone parasailing over a beautiful landscape.,Someone is sleep.,0
A woman with dark hair is hanging up clothes to dry.,A woman puts clothes in the washing machine.,0
A skateboarder wearing all black is riding down the railing and there is a black motorcycle in front of the railing.,person on skateboard,1
A blond woman wearing a gray tank top takes a photo of herself and a young blond boy while they are seated on a bed.,The woman is alone,0
Three members of the red team are in the grass with a member of the yellow team.,People are eating lunch together,0
A male is looking at different colored yarn wearing a white shirt.,The man is an armadillo,0
This man is hitting a tennis ball with a tennis racket.,A man is punching a punching bag,0
"A man in a black jacket, burgundy shirt and blue jeans, walking past a newspaper vendor stand in a crowded subway station.",a girl tries to talk to the vendor at the subway station,0
A toddler in a stroller is wearing an orange shirt.,The toddler is wearing orange.,1
Multiple people walking outside in the rain.,There are people walking in the rain.,1
Two children walking on a wooden pier over water.,Kids are near water,1
A disinterested young woman and an older man stand by a bar.,Two people are sitting in a booth at Arby's.,0
"A musician wearing a red scarf on his head and holding a microphone, wipes his face as he walks away from a smiling DJ.",The musician is doing a poem.,0
A young man with no shirt on is wearing black pants and sneakers is jumping over a blue skateboard.,a man in black pants jumps over his skateboard,1
A woman crossing the street.,She is printing paper at the office.,0
"A woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads, a microwave and the chalkboard menu up on the wall.",A woman is preparing food in her restaurant.,1
The man is on a black and white bike.,The man is running to his house.,0
Christmas decorations hang inside of a church,Decorations hanging inside.,1
Three children run on the walkway by the river.,People are outside.,1
A man in jeans is standing in the shadow of a light pole near a building and holding his hand to his head while he looks at window display for a bank.,A man is wearing short shorts.,0
A woman on a cellphone is sitting in a chair.,A woman is sitting on a bench.,0
a young girl in a black hat looks into a kiosk of dolls and other items for sale.,A girl looks at dolls.,1
A black lady in a red dress and green earrings is looking at her cellphone.,A black lady is looking at the sky.,0
Three guys riding on an elephant with a house-like structures and trees in the background.,The wild elephants could not be tamed.,0
People in swim clothes playing on a beach.,The group is eating in the restaurant.,0
A young girl dancing in front of a city building wearing very bright clothes and hot pink socks,A girl is waiting for her bus by building.,0
Man playing a brown and white electric guitar.,The man is playing an instrument,1
A track runner celebrating his victory.,The runner has no arms or legs.,0
A woman is embracing a man holding the leash of a dog who is looking away from the couple.,A couple hugs for the last time before they embark to Jupiter as Earth destroys itself behind them.,0
Two men stand behind a DJ turntable.,Two people are standing up.,1
The black dog runs through the water.,The dog is outside.,1
A small group has gathered for dinner at a cafe.,The small group is in the cafe.,1
A man uses a chainsaw to sculpt a phallic ice sculpture.,A person is sculpting something.,1
Two children lie on puffy benches at a museum while four adults look on.,Children reclined on benches with adults in the background.,1
A woman who is dressed up peddles on her bike while holding an umbrella.,A well dressed woman is selling things from her bicycle.,1
A boy and a girl playing on the beach.,Two children play on the beach.,1
A boy makes a jumping dive toward another boy with a soccer ball near.,The boys are inside sitting down.,0
A basketball player slam dunking the basketball during a game as the crowd and players watch.,A basketball player slam dunking the basketball,1
A man wearing a jacket is having a drink.,A figure skater has just fallen while attempting a difficult jump.,0
Man jumping out of a helicopter into the ocean.,The man is going to stay dry.,0
A little girl in a dress jumping in a backyard.,a boy is jumping,0
A skateboarder catches air over a dumpster as one friend observes and the other friend jests.,a skateboarder goes through the air,1
A man next to a bicycle is playing a pan flute.,A man is running in the woods.,0
A swimmer moves away from a rock while somebody else is poised to dive.,Two people at an outdoor swimming area.,1
A lady in a orange outfit is practicing a dance move.,a lady is sitting down on a couch.,0
A woman in a red and white striped turtleneck sipping from a cup.,A woman is drinking something.,1
A woman sits in a chair and smiles while holding a sleeping baby.,A man is holding a baby.,0
"A man, dressed in white, plays the piano and sings on stage.",A man preforms a song.,1
Two people riding their bicycles down an empty road.,Two people not riding their bicycles,0
A man is working in a street side jewelry shop.,A man is in a jewelry store.,1
Black and white dog running through water.,A dog is running.,1
A small dog playing tug with a larger dog,The two dogs are chasing a ball in a park.,0
A young girl is lifted by a red-haired woman in glasses partially up a playground pole as the girl looks skyward with a large smile on her face.,Lady playing with smilling girl on lawn.,1
Four school children walk to school wearing warm apparel.,Four children in shorts are playing a game inside.,0
Person in red and black parka climbing snow covered hill,A person making sand castles.,0
A blond girl is sitting at a bar in the presence of three other men.,The blond girl is alone,0
A boy in blue and white on rollerskates holds hockey stick with a black ball at the end of it.,The boy is riding on ice skates.,0
Woman highlights work she has done on her notebook.,The woman is in an isolated location,0
A tennis player in a white tank top and blue shorts hits a tennis ball.,A tennis player in shiny gold clothes dance as she plays the tennis racket like a guitar.,0
He stands in uniform with only his shadow as company.,He stands naked with only his shadow for company.,0
A crowd of people are standing around inside a bike shop.,People stand in a bike shop.,1
Two people sit and enjoy themselves along a busy street in lawn chairs as others mill in front of them.,friends went fishing,0
A small child wearing a hat is playing on rocks at the edge of a body of water.,There's a child is outside.,1
The person wearing the red hard hat is on the mountain.,The person in the red hat is on rock.,1
A man leans beside a cow in a grassy field.,The man and cow are outside.,1
The old woman is sitting with the children surrounded by streamers.,The old woman is sitting.,1
A young boy is kneeling on a white floor next to an orange cloth.,The boy is kneeling,1
Firefighters stream water on a fire from multiple locations.,The firefighters use one hydrant to fight the fire.,0
A public worker is sweeping up a massive pile of trash in front of a monument at a city square.,A person is cleaning up trash.,1
A man in a green jacket is standing near cars.,A man is standing upright.,1
"A woman, man, and two children.",A group of people.,1
"A young boy is playing on a piece of playground equipment that features tires which he must step in and out of, while keeping his balance.",A young boy is playing outside.,1
The two street performers in costumes play the violin and another instrument.,Two street performers share a drink at a bar.,0
"Two little girls, both dressed in pink, play on the jungle gym.",The girls are waiting for their mother.,0
A couple sitting in front of a computer screen.,A couple in-front of computer,1
A dog and its owner takes a run.,A dog and its owner nap on the couch,0
A mother and three children collecting garbage from a blue and white garbage can on the street.,Four people are on the street.,1
Two children play beneath a metal statue.,The three children play on a swingset at the park.,0
A boy is playing outside.,A girl plays inside.,0
A young girl wearing a light blue dress and a young boy wearing navy pants and a yellow shirt walk up the steps to the cockpit of an airplane sitting in the field of an aviation museum.,A boy and a girl are at a museum.,1
A man in a striped shirt makes a blue balloon animal.,The man knows how to make balloon animals.,1
A man with graying hair brushing his teeth,The man still has some hair left on his head.,1
An older boy is pointing out something to a younger boy inside and airport terminal with an airplane in the background,A girl is pointing something to a younger boy.,0
One car is pulling out in front of a bus.,Christmas Time!,0
"Three men on horses, one of them with his legs up in the air is being bucked off his horse.",The men are on cars.,0
A woman with pink bags rides her bike over a bridge.,A woman is walking over the bridge carrying all of her bags.,0
A cute baby takes a bath in a large clear bowl.,The baby is playing in the dirt.,0
An old man on a bicycle riding along a wooded country road with sun filtering through the treetops.,The man is outside,1
A man doing a wheelie on a dirt bike.,The man is on a bike.,1
A lady and a little boy use a pump to launch a rocket at a marina.,A lady and a boy launch a rocket.,1
Two construction workers are assembling some scaffolding.,Workers build an object.,1
A dog is digging in the ground and half of his body is under the ground.,A dog digging a hole.,1
People riding their bikes on a trail.,People are walking next to their bikes on the sidewalk,0
The lead guitarist is playing on stage.,a person playing guitar,1
Two girls are raising another girl in the air.,three girls,1
"Three students, all wearing black t-shirts, are standing and looking into a microscope.",The three students are lookup up attentively.,0
A boy in a white t-shirt and flowered shorts is running in a track lane.,A girl in a white t-shirt and flowered shorts is running in a track lane.,0
Two older men and an Asian woman sitting in chairs.,Young Asians set up lawn chairs.,0
"A man wearing a bright, multi-color helmet is sitting on a motorcycle.",man riding a bike wearing a helmet.,0
A man sits outside on a curb next to an old-looking motorcycle.,A woman is resting by a park bench.,0
Two professional hockey players skating by each other on the ice.,Hockey players skating past each other.,1
two blonds are staring off into the distance.,They are reading a book,0
A black and white dog swimming in clear water.,A dog is in the water.,1
"A young man and lady are both standing at there own controls that look like a lot a square buttons, a screen by their feet, and a cube above the controls.",two women play soccer in a field,0
A person dressed in a coat and hat holds a tray on his bicycle.,A person is holding something,1
A man sings with his band up on stage at an event or concert late at night.,A man sings on stage.,1
A man taking a picture with a silver camera.,The man is an astronaut.,0
Medical professionals are wearing green scrubs.,People sleeping on the job wearing scrubs.,0
A man playing a trumpet along side a woman playing a saxophone stand outside in pink hats.,There is only one person present.,0
The girl in a black shirt is reading a greeting card that was given to her by a friend of hers.,Girl is reading a card.,1
"An oriental looking girl in pink pants, sitting on a little stool, eating out of a takeout box.",A girl stands by a doorway eating food from a bowl,0
A man is using a chainsaw to carve a wooden sculpture.,A man is carving a wooden sculpture.,1
"Two couples are passionately embracing on a beach, while an elderly couple looks on from above.",Two couples are not passionately embracing,0
An elephant hold his trunk to a boy's head while others watch.,A monkey is touching the elephant.,0
Two scuba divers are interacting with a dolphin underwater.,Divers encounter a dolphin.,1
"Man building something in a murky river, while wearing a hat.",A park ranger is destroying a beaver dam in the murky river.,0
A dog is running and jumping through the woods,A dog is sleeping.,0
A man holds a microphone and speaks as a group of seated people watch and one woman looks down.,a man speaks infront of others,1
I woman pedaling a bicycle cart looks at her cellphone.,A woman looks straight ahead while pedaling her cart.,0
A kid tries to do a skateboard trick over his friend who is sprawled out on the ground.,A human on a skateboard,1
A white dog is running on gravel away from two people and a black and brown dog.,A dog is running on pavement.,0
A group of four people is walking down a snowy street.,The group of four are outside.,1
A woman in a conical hat works at a narrow loom.,A woman is using her laptop.,0
A group of people playing instruments.,A group of people are eating tofu,0
A young male baseball player in a red number eight jersey throws the baseball while a teammate and an opponent watch.,A baseball player wearing his numbered jersey pitches the ball while others watch,1
A man is getting a kiss from a animal.,A man is shaking hands with his animal.,0
Two men are playing rugby.,There are men outside playing.,1
Two young boys are playing soccer and mid-action.,There are boys having dinner.,0
The bat looks worn.,The bat appears to have been used.,1
The spray from water ejected by a woman's hair is reflecting the sunlight.,Woman standing in the sun,1
An old man with a hat and sunglasses is playing an accordion.,An old man plays an accordion.,1
A little boy is wearing a t-shirt that says Gidday is looking up at the sky while enjoying a snack.,A kid is looking at the ceiling of a house.,0
Three people waiting at a bus stop.,Three people are waiting for the bus.,1
This young girl is making her way home.,The girl is not home yet.,1
A girl is wearing a blue wig under a brown hooded jacket.,A girl's blue wig is visible under her brown-hooded jacket.,1
An older woman sits next to a small girl who is wearing a striped dress.,"Two females, years apart in age, sit next to each other.",1
"Several youth stand around watching as a banjo player, piano player, and guitar players play in a dirty setting.",The children are zombies hellbent on attacking the piano player.,0
"Older black man handing small blue object to group of younger black men, outdoors.",The young men are handing a blue object to an old man,0
The man in the orange outfit is about to throw a javelin.,The man is wearing orange.,1
People stand on a sidewalk near an old fashioned train.,People are near the old fashioned train.,1
A crowd watches a biker on a wire.,The biker is riding his bike on the wire very outdoors.,1
A group of men enjoying their selves on the closer-to-shore area of an ocean.,A group of men are on the shore,1
Two boys enjoy a ride at an amusement park.,Two boys have fun at a park.,1
Two men in an office are wrestling as two other men watch on.,two men are wrestling inside,1
"Two girls, one asian and one white, are in white lab coats working on something from a yellow box.",The girls are in lab coats working on the contents of a yellow box.,1
A Sooners football player in his red and white uniform being lifted by two teamates dressed the same.,There are no sports teams.,0
A child is mostly hidden in a green shopping bag.,A child is jumping around excitedly.,0
A bearded man plays guitar leaning against a white wall.,yo yo ma plays his cello for a concert hall packed with chimps,0
A man is sitting on a bench that faces a body of water.,A man is sitting.,1
People walking down suburban street lined with light poles.,People are outside.,1
A snowboarder is doing a flip over a mound of snow.,A man is riding his snowboard over a mound of snow.,0
Men and women in hard-hats; one takes a picture,The men and women are wearing baseball caps.,0
Two small dogs search the ground for something.,The two small dogs are asleep.,0
The two girls are playing on a yellow sit-and-bounce.,two girls play,1
One girl jumping over three others hanging on the side of a pool with ocean in background.,A girl is sitting at school all alone.,0
A young man sits on the side of the road with his belongings.,A young man sits on the side of the road with his belongings,1
A boy in a costume is sitting on a bike.,A boy is wearing a costume on a bike.,1
There is a man and woman working on a bicycle tire.,the man and lady are fixing the bike tire,1
A man stands in the snow as the sun sets.,a child was there,1
a small brown dog in the grass trying to catch bubbles,The dog is under the bed.,0
Guy drilling near a lamp post.,A person cutting down a tree.,0
A man standing in a kitchen with dishwasher and silverware drawer open.,A man standing in a kitchen with dishwasher and silverware drawer open.,1
A boy dribbles a soccer ball in a grass field next to a parking lot.,A girl dribbles a soccer ball in a grass field next to a parking lot.,0
People waving their flags.,A group of people hold flags.,1
Two men resting uptop a snowy mountain.,"On the mountain, the temperature is below 32 degrees.",1
A brown dog is lying on a grassy field as the wind blows through his fur.,There is a dog outdoors.,1
A youth with long dirty blond-hair wearing a denim jacket and jeans looks at the conveyor belt of groceries while waiting at a checkout line.,The youth at the grocery store is at home.,0
A man with a dark top and a brown hat is standing on equipment behind a group of animals.,A man is standing on equipment behind a group of animals,1
Two men wearing white shirts and ties are having drinks.,Two men share a plate of nachos.,0
A boy in a black helmet and red long-sleeve shirt rides his motorbike over a rocky stream.,A boy takes his motorbike out for a ride.,1
"A boy with closed eyes, wearing a hat, on a swing.",A young boy is swinging.,1
Four people watch the sunset.,Four people carry groceries inside.,0
A large group of people with pamphlets sitting in a auditorium.,The people are all indoors.,1
The children hold up awards.,The childern are playing video games.,0
A group of people travel through a line along side a gorilla statue.,They are being attacked by a gorilla.,0
A child riding a bike down a dirt path.,A child is jumping on a trampoline.,0
A white bird flying over trees,A bird flies over trees.,1
A group of people on cellphones looking at the sky.,Some people are holding cellphones.,1
Two men and one woman are laughing while doing yoga.,People are doing yoga.,1
"A man with a long black hair and beard, wearing a black shirt is sitting on rocks within a fenced in enclosure while holding the paw of a young polar bear.",the man is in his home showering,0
A couple crossing the street at night.,People out at night.,1
A group of girls stand in a football field and pose for the camera.,A group stands on a football field for a picture.,1
A man sitting at a small outdoor table is conversing on his cellphone while working on his laptop.,A man is using a laptop.,1
A man is using a spatula while cooking over a steaming grill or flat top.,A man is making cereal.,0
Two men yellow are fishing from a small red box.,A man and his daughter are fishing for trout.,0
a tennis player in a green striped shirt is holding his hand up to his mouth.,The player is holding the racket with both hands.,0
Man with jeans and a hooding doing skateboarding tricks.,A man is riding a scooter.,0
A man in sitting in front of a large Calvin Klein steel advertisement with a long instrument.,A musician is outside.,1
The girl with the wide eyes has a marker hanging from her nose.,The girl with wide eyes has something hanging from her nose.,1
A woman hiking through the snow.,woman playing in snow.,1
A little boy plays with a device.,Nobody is playing,0
Two women are smiling as they appear to be listening to portable music devices.,Two women happily listen to music.,1
"This person is performing a trick in skateboarding competition, with people watching in the background.","A human is making a board with wheels do amazing things during a contest, while humans stand back and watch.",1
A male watches a young female playing soccer.,A female is playing soccer.,1
A butcher is working at a market.,A butcher is on break in the back.,0
A man and a lady stop in front of a building to talk.,Two people are outside.,1
A young woman is sitting while taking public transport.,the woman is traveling,1
A woman talking on a cellphone near water.,Someone is talking on a phone.,1
"In the pouring rain, a marathon runner smiles big as he approaches groups of bystanders, as the pace car drives along behind him.",A girl is crying alone in her room.,0
Little boy pulling a green wagon wearing a sweatshirt and boots.,A girl holds a kitten.,0
A group of men and women are singing a song.,Some people are singing together.,1
Two male hurlers are in mid-stride on a track near a brick wall.,Two men are sitting inside watching figure skating on TV.,0
A stunt driver is attempting to drive with only one side his four-wheeler touching the ground.,A stunt driver is sleeping,0
Two young men are running through the grass in the fall.,Two young women are running through the grass in the fall.,0
A man in a dirty plaid shirt is carrying logs.,Two women gardening in the hot sun.,0
The woman in the red jacket looks at the child in a green jacket.,There is a dog in a stroller.,0
People in a field working to harvest a plant and pile it up.,The people relax after harvesting their produce.,0
A lady and two small children are sitting on a park bench with pigeons at their feet.,A woman and two children sitting at a park bench with no other macroscopic lifeforms around.,0
A man in blue pants and a blue sweatshirt makes a railing out of wood.,The man is in blue pants,1
A man and a woman are playing lacrosse in a yard.,They are outside.,1
Two toddlers sit on their mother's lap while she feeds them.,The toddlers are eating food.,1
Two men are instructing others in martial arts.,Instructors are teaching martial arts.,1
A man working on something alone in an industrial setting.,A seal is balancing a rubber ball on its nose.,0
Four young adults with two microphones make silly faces at the camera.,The adults are in front of the camera being silly.,1
A ragged man sleeping behind a building.,The man is outside in an alley.,1
A man in a sports uniform kicking a soccer ball while other players follow him,A man is kicking a soccer ball.,1
"A person wearing a black, white, and yellow uniform is doing a jump on a dirt bike.",A biker jumps.,1
A man and woman smile and pose in pajamas while holding video game controllers in front of a television.,A man and a woman enjoy a meal.,0
Three people walking along a stream in a jungle.,the people are running,0
two men playing soccer on a wet field,Two men are playing soccer inside the house.,0
Asian women in various forms of dress use pastel umbrellas to shield themselves from the sun.,Asian women in various forms of dress use pastel umbrellas.,1
A woman in a purple hooded sweatshirt leans on a wall.,A woman is leaning against a wall,1
The #2 greyhound dog is running around a track.,A dog is laying on the grass,0
A person wearing a cone-shaped hat is walking down the street with many bags.,A person in a hat is holding bags and walking down the street.,1
Firemen gathered around a firetruck on a roadside.,the men sitting in a park,0
Two older women hold hands as they cross the street while one waves at someone,the women cross the street together,1
The coaches of the USA Olympic Men's Basketball team are standing on a basketball court with their hands over their hearts.,The USA team is dead.,0
a young blond boy smiling standing on a staircase,A young blond boy runs up the stairs screaming.,0
A man examining something under a magnifying lens.,The man looks at something small.,1
Children going home from school.,The school children head home.,1
A man rides a bike through an intersection in a low-traffic area of a city near a store called Swatch while the traffic light is red.,A little girl rides her tricycle on a deserted street.,0
a black dog is standing on a step next to a river as it shakes itself dry.,The dog is dry.,0
A band with two women and one man is on stage playing music.,The band is setting up for the concert.,0
Two kids standing in a firetruck.,Two people driving a firetruck.,0
Multiple people around a county fair with several attractions including a fortune telling machine called Grandmas prediction.,The fair was attended by many people.,1
The woman is walking next to a subway with shopping bags in hand.,A person is walking,1
A child poses wearing glasses near water outside.,A child is outside.,1
An older woman wearing a dress and holding a handbag while standing in front of a hedge.,A woman in a dress.,1
A black schoolgirl holds a white doll on an dirt road.,A black girl is standing on a road holding a doll.,1
A white man with black clothing stands near the edge of a sidewalk with a bunch of people standing or walking around behind him.,A dark clothed man is standing outside.,1
Lots of people sitting along a low wall in front of grass with buildings lining along the road.,Lots of people walking in a glass building.,0
"A person in a red shirt sits in front of a building exhibiting ""Beatles Story Exhibit.""",The person in the red shirt is hanging upside down from the rafters of the building and sleeping like a vampire.,0
A young gentleman at the edge of a crowd on his cellphone raising his briefcase in the air to attract someones attention in the distance.,A young man uses his cellphone.,1
soccer players going crazy over the soccer ball get into a heated match.,A group of cats is sitting down.,0
A man playing a guitar while standing in front of a microphone singing.,A man is making music.,1
"A child is in colorful, native clothing.",The child is dressed in colorful clothing.,1
A man holds up a clenched fist while posing with a lawn mower.,A man is playing the cello.,0
A fair haired woman is wearing what appears to be a graduation gown with a flower on her lapel.,a light haired woman with a flower on her shirt,1
"An black man, walks past political graffiti on the side of a building.",A man walk past graffiti.,1
A man practicing karate moves in the air.,A man is practicing karate.,1
Young girl playing softball with white house in background,A young girl is playing softball.,1
There are a few people at a subway station and a subway is coming by.,people are inside a station,1
football player leaping over another player on the ground,A football player is tackling another player on a football field.,1
A snowboarder is leaping of a wooden platform.,A Snowboarder doing a trick,1
A man wearing headphones and a checkered shirt with tan jacket reaches inside his jacket while crossing a busy street.,This person is wearing a jacket and some accessories.,1
A woman puts the firewood in order.,A woman is building a metal boat using bricks.,0
A man and young boy in a yellow life jacket are swimming.,Two people are in the water.,1
A skateboarder catches big air at the skate park.,A person is on a skateboard.,1
Three people on a bridge watch calm waters.,People looking down and at the view,1
Two kids on skateboards and three men standing around a statue of a head.,There are several people in this photo.,1
A woman on a crowded street blowing large bubbles.,A woman on an empty street.,0
Two teams in rollerskates play hockey with a ball.,rollerskaters play hockey,1
Two ladies dancing in a tavern.,The women are moving their bodies.,1
A man dressed as a clown and a young man wearing sunglasses pretend to ponder something seriously.,the men are burying a cat,0
Little girl holding a karate trophy.,The girl is holding a trophy.,1
