text1,text2,label,category
"Urbanization is the process by which rural areas transform into urban areas through population growth, economic development, and infrastructure expansion.","Urbanization is the process by which rural areas transform into urban areas through population growth, economic development, and infrastructure expansion.",1,cut
"The scientific method is a systematic approach to research consisting of observation, hypothesis formation, experimentation, and conclusion drawing.","The scientific method is a structured research approach involving observation, hypothesis formation, controlled experimentation, and conclusion drawing.",1,light
"The Great Barrier Reef is the world's largest coral reef system, stretching over 2,300 kilometres off Australia's coast.","Natural language processing enables machines to parse, understand, and generate human language at scale.",0,none
"The scientific method is a systematic approach to research consisting of observation, hypothesis formation, experimentation, and conclusion drawing.","Science advances by formulating testable predictions, designing controlled experiments to evaluate them, and revising theories in light of empirical evidence.",1,heavy
The Internet of Things refers to the network of physical devices embedded with sensors and software that connect and exchange data over the internet.,The Internet of Things refers to the network of physical devices embedded with sensors and software that connect and exchange data over the internet.,1,cut
"The scientific method is a systematic approach to research consisting of observation, hypothesis formation, experimentation, and conclusion drawing.","The scientific method is a systematic approach to research consisting of observation, hypothesis formation, experimentation, and conclusion drawing.",1,cut
"The stock market is a collection of markets where stocks are bought and sold, reflecting investor confidence in companies and the broader economy.","The stock market is a set of exchanges where company shares are traded, reflecting investor trust in businesses and the wider economy.",1,light
"Supply chain management involves the coordination and oversight of all activities involved in sourcing, procurement, conversion, and logistics management.","Supply chain management coordinates all activities involved in sourcing, procurement, conversion, and logistics to deliver products efficiently.",1,light
"Artificial neural networks are computing systems inspired by the biological neural networks that constitute animal brains, designed to recognize patterns.","Artificial neural networks are computing systems inspired by the biological neural networks that constitute animal brains, designed to recognize patterns.",1,cut
"Climate change refers to long-term shifts in global temperatures and weather patterns, primarily caused by human activities releasing greenhouse gases.","Rising sea levels, intensifying hurricanes, and prolonged droughts are among the observable consequences of ongoing global warming trends.",1,near
"Cognitive behavioral therapy is a form of psychotherapy that treats problems by modifying dysfunctional emotions, behaviors, and thoughts through goal-oriented procedures.","Cognitive behavioral therapy is a form of psychotherapy that treats problems by modifying dysfunctional emotions, behaviors, and thoughts through goal-oriented procedures.",1,cut
"Urbanization is the process by which rural areas transform into urban areas through population growth, economic development, and infrastructure expansion.","As economic opportunity draws migrants from countryside to city, urban areas expand in population density, infrastructure complexity, and cultural diversity.",1,heavy
The Internet of Things refers to the network of physical devices embedded with sensors and software that connect and exchange data over the internet.,"IoT technology integrates sensors, actuators, and network connectivity into everyday objects, enabling automated data collection and remote control.",1,heavy
"DNA, or deoxyribonucleic acid, is a molecule that carries the genetic instructions for the development, functioning, growth and reproduction of all living organisms.","DNA, or deoxyribonucleic acid, is a molecule that carries the genetic instructions for the development, functioning, growth and reproduction of all living organisms.",1,cut
The Internet of Things refers to the network of physical devices embedded with sensors and software that connect and exchange data over the internet.,The Internet of Things describes a network of physical objects equipped with sensors and software that connect and share data via the internet.,1,light
"Vaccination works by training the immune system to recognize and combat specific pathogens, providing protection against infectious diseases.","Vaccines work by teaching the immune system to identify and fight specific pathogens, offering protection from infectious diseases.",1,light
"Natural language processing is a branch of artificial intelligence concerned with enabling computers to understand, interpret and generate human language.","Natural language processing is an area of artificial intelligence focused on enabling computers to understand, interpret, and produce human language.",1,light
"Supply chain management involves the coordination and oversight of all activities involved in sourcing, procurement, conversion, and logistics management.","Supply chain management involves the coordination and oversight of all activities involved in sourcing, procurement, conversion, and logistics management.",1,cut
"Antibiotic resistance occurs when bacteria evolve mechanisms to defeat the drugs designed to kill them, making infections harder to treat.","Antibiotic resistance happens when bacteria develop ways to survive the drugs meant to eliminate them, making infections increasingly difficult to treat.",1,light
Professional basketball players typically train six to eight hours daily to maintain peak athletic performance.,"Plate tectonics explains continental drift, mountain formation, and the distribution of earthquakes and volcanoes.",0,none
The Taj Mahal was commissioned by Mughal emperor Shah Jahan in memory of his wife Mumtaz Mahal in the 17th century.,The scientific method relies on controlled experimentation and peer review to build reliable empirical knowledge.,0,none
"Mount Everest, standing at 8,849 metres, is the highest point on Earth measured from sea level.","DNA sequencing has transformed forensic science, enabling precise identification of individuals from biological samples.",0,none
The invention of the printing press by Gutenberg around 1440 revolutionized the spread of knowledge across Europe.,Antibiotic resistance threatens to reverse decades of medical progress by rendering common infections untreatable.,0,none
"Vaccination works by training the immune system to recognize and combat specific pathogens, providing protection against infectious diseases.","Vaccination works by training the immune system to recognize and combat specific pathogens, providing protection against infectious diseases.",1,cut
"Cognitive behavioral therapy is a form of psychotherapy that treats problems by modifying dysfunctional emotions, behaviors, and thoughts through goal-oriented procedures.",Mindfulness-based interventions complement traditional CBT by cultivating non-judgmental awareness of thoughts and sensations to reduce rumination.,1,near
"Urbanization is the process by which rural areas transform into urban areas through population growth, economic development, and infrastructure expansion.","Urbanization is the transformation of rural areas into urban ones through population increases, economic growth, and infrastructure development.",1,light
"The human skeleton consists of 206 bones that provide structural support, protect organs, and enable movement.","Supply chain disruptions can cascade across global markets, revealing the fragility of just-in-time production systems.",0,none
"Natural language processing is a branch of artificial intelligence concerned with enabling computers to understand, interpret and generate human language.","Natural language processing is a branch of artificial intelligence concerned with enabling computers to understand, interpret and generate human language.",1,cut
Photosynthesis is the process by which green plants and certain other organisms use sunlight to synthesize nutrients from carbon dioxide and water.,Photosynthesis is the process by which green plants and certain other organisms use sunlight to synthesize nutrients from carbon dioxide and water.,1,cut
"The Olympic Games were revived in Athens in 1896 after a hiatus of over 1,500 years since ancient Greece.",Plate tectonics is responsible for the formation of mountain ranges such as the Himalayas and the Andes.,0,none
"Shakespeare wrote 37 plays and 154 sonnets during the Elizabethan era, profoundly shaping the English language.","Urbanization is accelerating worldwide, with more than half the global population now living in cities.",0,none
Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles.,"At subatomic scales, quantum theory supplants classical physics, revealing that energy and matter exhibit both wave-like and particle-like characteristics.",1,heavy
"The deepest point in the ocean, the Challenger Deep in the Mariana Trench, reaches approximately 11 kilometres.",Stock market volatility reflects uncertainty about future corporate earnings and macroeconomic conditions.,0,none
"The human brain contains approximately 86 billion neurons, each connected to thousands of others, forming an intricate network responsible for all cognitive functions.","Roughly 86 billion interconnected nerve cells form the structural basis of the human brain, enabling perception, reasoning, memory, and motor control.",1,heavy
Sushi originated as a method of preserving fish in fermented rice in Southeast Asia before evolving in Japan.,"Cognitive behavioral therapy restructures negative thought patterns to treat anxiety, depression, and phobias.",0,none
"The Silk Road was an ancient network of trade routes that connected the East and West, facilitating the exchange of goods, culture, and ideas for centuries.",Archaeological evidence from Dunhuang caves illuminates the rich artistic and religious exchanges that flourished along the ancient Silk Road.,1,near
The Internet of Things refers to the network of physical devices embedded with sensors and software that connect and exchange data over the internet.,"Smart home devices, wearable health trackers, and industrial sensors are rapidly expanding the ecosystem of internet-connected physical objects.",1,near
"Renewable energy comes from naturally replenished sources such as sunlight, wind, rain, tides, and geothermal heat that are virtually inexhaustible.",Offshore wind installations and utility-scale solar farms are achieving cost parity with fossil fuel generation in many electricity markets.,1,near
Photosynthesis is the process by which green plants and certain other organisms use sunlight to synthesize nutrients from carbon dioxide and water.,Photosynthesis is the process through which green plants and some other organisms use sunlight to produce nutrients from carbon dioxide and water.,1,light
"The stock market is a collection of markets where stocks are bought and sold, reflecting investor confidence in companies and the broader economy.","Equity markets aggregate the buying and selling decisions of millions of participants, producing prices that continuously update based on new information.",1,heavy
"The Mona Lisa, painted by Leonardo da Vinci between 1503 and 1519, is considered the world's most famous portrait.",Photosynthesis converts solar energy into chemical energy stored in glucose molecules within plant cells.,0,none
Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed.,"Deep learning algorithms, trained on massive labelled datasets, have achieved superhuman accuracy in image recognition and natural language tasks.",1,near
"The Silk Road was an ancient network of trade routes that connected the East and West, facilitating the exchange of goods, culture, and ideas for centuries.","For over a millennium, the Silk Road served as a transcontinental conduit for commerce, religion, technology, and artistic exchange between Asia and Europe.",1,heavy
"Climate change refers to long-term shifts in global temperatures and weather patterns, primarily caused by human activities releasing greenhouse gases.","Climate change describes long-term changes in global temperatures and weather patterns, mainly caused by human activities that release greenhouse gases.",1,light
Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed.,Machine learning is a branch of artificial intelligence that allows systems to learn and improve from experience without explicit programming.,1,light
The speed of sound in air at room temperature is approximately 343 metres per second.,Vaccination campaigns have successfully eradicated smallpox and dramatically reduced polio incidence globally.,0,none
"Bees pollinate roughly one third of the food crops humans consume, making them essential to global food security.","The periodic table of elements organises matter by atomic structure, revealing trends in chemical behaviour.",0,none
"Climate change refers to long-term shifts in global temperatures and weather patterns, primarily caused by human activities releasing greenhouse gases.","Climate change refers to long-term shifts in global temperatures and weather patterns, primarily caused by human activities releasing greenhouse gases.",1,cut
"Climate change refers to long-term shifts in global temperatures and weather patterns, primarily caused by human activities releasing greenhouse gases.",Anthropogenic greenhouse gas emissions are the principal driver of the accelerating long-term alterations in Earth's temperature and precipitation regimes.,1,heavy
Photosynthesis is the process by which green plants and certain other organisms use sunlight to synthesize nutrients from carbon dioxide and water.,"Chlorophyll molecules in plant chloroplasts capture light energy to drive the Calvin cycle, producing glucose from inorganic precursors.",1,near
"The water cycle, also known as the hydrological cycle, describes the continuous movement of water within Earth and its atmosphere through evaporation and precipitation.","The water cycle, also known as the hydrological cycle, describes the continuous movement of water within Earth and its atmosphere through evaporation and precipitation.",1,cut
"Vaccination works by training the immune system to recognize and combat specific pathogens, providing protection against infectious diseases.","Immunization primes adaptive immunity by exposing individuals to attenuated pathogens or antigenic proteins, generating long-lasting protective responses.",1,heavy
"Honey never spoils due to its low moisture content, acidic pH, and natural hydrogen peroxide content.",The Internet of Things is rapidly expanding the attack surface for cybersecurity threats in homes and industry.,0,none
"The water cycle, also known as the hydrological cycle, describes the continuous movement of water within Earth and its atmosphere through evaporation and precipitation.","Glacial retreat, aquifer depletion, and changing precipitation patterns are altering the availability and distribution of freshwater resources worldwide.",1,near
"Cybersecurity refers to the practice of protecting systems, networks, and programs from digital attacks aimed at accessing, changing, or destroying information.","Cybersecurity refers to the practice of protecting systems, networks, and programs from digital attacks aimed at accessing, changing, or destroying information.",1,cut
The human eye can distinguish approximately 10 million different colours through its cone photoreceptor cells.,Machine learning models are increasingly deployed in healthcare for early disease detection and drug discovery.,0,none
"The periodic table organizes chemical elements by their atomic number, electron configuration, and recurring chemical properties into rows and columns.","The periodic table organizes chemical elements by their atomic number, electron configuration, and recurring chemical properties into rows and columns.",1,cut
"The human brain contains approximately 86 billion neurons, each connected to thousands of others, forming an intricate network responsible for all cognitive functions.","The human brain has around 86 billion neurons, each linked to thousands of others, creating a complex network responsible for all thinking functions.",1,light
"The Renaissance was a cultural and intellectual movement that began in Italy during the 14th century, marking the transition from the Middle Ages to modernity.","The Renaissance was an intellectual and cultural movement starting in Italy in the 14th century, marking the shift from the Middle Ages to the modern era.",1,light
"Artificial neural networks are computing systems inspired by the biological neural networks that constitute animal brains, designed to recognize patterns.","Artificial neural networks are computational systems modeled on the biological neural networks in animal brains, built to recognize patterns in data.",1,light
"Vaccination works by training the immune system to recognize and combat specific pathogens, providing protection against infectious diseases.","Herd immunity thresholds, calculated from transmission rates, determine the vaccination coverage needed to prevent epidemic spread in a population.",1,near
"The human brain contains approximately 86 billion neurons, each connected to thousands of others, forming an intricate network responsible for all cognitive functions.","The human brain contains approximately 86 billion neurons, each connected to thousands of others, forming an intricate network responsible for all cognitive functions.",1,cut
"The Silk Road was an ancient network of trade routes that connected the East and West, facilitating the exchange of goods, culture, and ideas for centuries.","The Silk Road was an ancient network of trade routes that connected the East and West, facilitating the exchange of goods, culture, and ideas for centuries.",1,cut
"The Renaissance was a cultural and intellectual movement that began in Italy during the 14th century, marking the transition from the Middle Ages to modernity.",Northern Italian city-states such as Florence and Venice became hotbeds of artistic patronage and humanist scholarship during the fifteenth century.,1,near
